Word;Definition/Translation/Association;Group;Last Interogation Date;Number of Days since the last interogation;Number of Days before the next interogation
General System - CMS;Central Maintenance System;3;2012-11-22T15:22:26;12;0;
WP2 - EHS;Electrical Heating System;1;2012-11-22T15:35:59;12;0;
WP2 - SPS;ACM Speed Sensor;1;2012-11-22T15:41:25;12;0;
WP2 - CSAS;Conditioned Service Air System;0;2012-12-05T15:12:14.345000;0;0;
WP2 - OCU;Outflow Valve Control Unit;1;2012-11-22T15:40:57;12;0;
WP2 - PDHCKV;Pack Discharge Heating Check Valve;1;2012-11-22T15:48:22;12;0;
WP2 - ERAI CKV;Emergency Ram Air Inlet Check Valve;3;2012-11-22T15:30:30;12;0;
WP2 - PCKV;Pack Outlet Check Valve;1;2012-11-22T15:47:54;12;0;
WP2 - PDPS;Pack Discharge Pressure Sensor;3;2012-11-22T15:33:21;12;0;
WP2 - VOZC;Volatile Organic and Ozone Converter;3;2012-11-22T15:34:31;12;0;
General System - CPCS;Cabin Pressure Control System;5;2012-11-22T15:22:54;12;0;
General System - ISIS;Integrated Standby Instrument System;0;2012-12-05T15:13:07.377000;0;0;
WP2 - PIPS;Pack Inlet Pressure Sensor;6;2012-12-05T15:12:01.169000;0;8;
WP2 - PHOS;Primary Heat Exchanger Outlet Temperature Sensor;1;2012-11-22T15:36:54;12;0;
WP2 - MHOS;Main Heat Exchanger Outlet Temperature Sensor;3;2012-11-22T15:31:50;12;0;
WP2 - ERAI;Emergency Ram Air Inlet;3;2012-11-22T15:30:14;12;0;
WP2 - PITS;Pack Inlet Temperature Sensor;4;2012-11-22T15:22:40;12;0;
General System - ISA;International Standard Atmosphere;5;2012-11-22T15:29:54;12;0;
WP2 - TAV;Trim Air Valve;3;2012-11-22T15:23:01;12;0;
General System - AGS;Air Generation System;5;2012-11-22T15:30:02;12;0;
WP2 - MHX;Main Heat Exchanger;5;2012-11-22T15:32:53;12;0;
WP2 - PADS;Pressurized Air Distribution System;1;2012-11-22T15:53:43;12;0;
WP2- TAPRV;Trim air Pressure Regulating Valve;1;2012-11-22T15:51:39;12;0;
AMO - MUAR;Model Unit Acceptance Review;3;2012-11-22T15:33:08;12;0;
WP2 - PFS;Pack Flow Sensors;1;2012-11-22T15:50:25;12;0;
AMO - MDF;Model Delivery File;2;2012-11-22T15:37:44;12;0;
WP2 - PHX;Primary Heat Exchanger;5;2012-11-22T15:44:17;12;0;
WP2 - PDHV;Pack Discharge Heating Valve;1;2012-11-22T15:50:08;12;0;
WP3 - NRV;Negative Relief Valve;2;2012-11-22T15:37:07;12;0;
WP2 - PDS;Pack Discharge Temperature Sensor;1;2012-11-22T15:47:21;12;0;
WP2 - OHDS;Over Heat Detection System;1;2012-11-22T15:50:18;12;0;
General System - ICP;Integrated Control Panel;1;2012-11-22T15:47:04;12;0;
WP2 - OFV;Outflow Valve;5;2012-11-22T15:42:32;12;0;
WP2 - WETS;Water Extractor Temperature Sensor;3;2012-11-22T15:41:40;12;0;
WP3 - ORV;Overpressure Relief Valve;1;2012-11-22T15:51:47;12;0;
AMO - MFPR;Model Functional and Performance Requirements;2;2012-11-22T15:42:50;12;0;
WP2 - CDS;Compressor Discharge Temperature Sensor;1;2012-11-22T15:53:30;12;0;
WP2 - RCO;Reheater/Condenser;1;2012-11-22T15:53:10;12;0;
WP2 - TASOV;Trim Air Shut Off;2;2012-11-22T15:47:35;12;0;
General System - IGGS;Inert Gas Generation System;1;2012-11-22T15:45:35;12;0;
WP2 - ACM;Air Cycle Machine;2;2012-11-22T15:47:43;12;0;
WP2 - TACKV;Trim Air Check Valve;2;2012-11-22T15:31:00;12;0;
General System - ADIRS;Air Data Inertial Reference System;6;2012-11-22T15:45:49;12;0;
General System - DSCS;Door Slide Control System;5;2012-11-22T15:48:04;12;0;
AMO - MICD;Model Interface Control Document;5;2012-11-22T15:49:15;12;0;
WP2 - ASCU;Air System Control Unit;5;2012-11-22T15:45:22;12;0;
WP3 - SACU;Semi Automatic Control Unit;6;2012-11-22T15:46:51;12;0;
